DEBUG 2025-01-07 08:55:42,304 autoreload File C:\Program Files\Python312\Lib\site-packages\yaml\resolver.py first seen with mtime 1719049333.1142342
DEBUG 2025-01-07 08:55:42,321 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\dispatch\dispatcher.py first seen with mtime 1735806871.9292004
DEBUG 2025-01-07 08:55:42,321 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\utils\asyncio.py first seen with mtime 1735806872.132326
DEBUG 2025-01-07 08:55:42,321 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\rest_framework\status.py first seen with mtime 1735809097.4127214
DEBUG 2025-01-07 08:55:42,321 autoreload File C:\Program Files\Python312\Lib\site-packages\urllib3\poolmanager.py first seen with mtime 1719049331.3540456
DEBUG 2025-01-07 08:55:42,321 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\pytz\tzinfo.py first seen with mtime 1719017426.5322416
DEBUG 2025-01-07 08:55:42,321 autoreload File C:\Program Files\Python312\Lib\tokenize.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,321 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\rest_framework\schemas\utils.py first seen with mtime 1735809097.6158493
DEBUG 2025-01-07 08:55:42,321 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\contrib\sites\shortcuts.py first seen with mtime 1735806871.351076
DEBUG 2025-01-07 08:55:42,321 autoreload File C:\Program Files\Python312\Lib\site-packages\charset_normalizer\cd.py first seen with mtime 1719049334.4556813
DEBUG 2025-01-07 08:55:42,321 autoreload File C:\Program Files\Python312\Lib\urllib\parse.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,321 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\core\files\storage\memory.py first seen with mtime 1735806871.6948266
DEBUG 2025-01-07 08:55:42,338 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\db\models\functions\window.py first seen with mtime 1735806871.9135764
DEBUG 2025-01-07 08:55:42,338 autoreload File C:\Program Files\Python312\Lib\site-packages\urllib3\util\timeout.py first seen with mtime 1719049331.5841997
DEBUG 2025-01-07 08:55:42,338 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\contrib\admin\templatetags\base.py first seen with mtime 1735806868.3198245
DEBUG 2025-01-07 08:55:42,338 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\core\checks\security\csrf.py first seen with mtime 1735806871.6791995
